"","County","AQI_Weekly_Measurement","week","month","year","City"
"110","Cook",5.34667931688805,15,4,2019,"Chicago"
"111","Cook",8.00848126232742,16,4,2019,"Chicago"
"112","Cook",7.17229862475442,17,4,2019,"Chicago"
"113","Cook",7.49468690702087,18,5,2019,"Chicago"
"114","Cook",5.78307692307692,19,5,2019,"Chicago"
"115","Cook",8.90322580645161,20,5,2019,"Chicago"
"116","Cook",6.92770448548813,21,5,2019,"Chicago"
"117","Cook",9.62535211267606,23,6,2019,"Chicago"
"118","Cook",9.10996563573883,25,6,2019,"Chicago"
"119","Cook",9.54169096209912,26,6,2019,"Chicago"
"120","Cook",12.8423076923077,27,7,2019,"Chicago"
"121","Cook",11.0609686609687,28,7,2019,"Chicago"
"122","Cook",8.90509915014164,29,7,2019,"Chicago"
"123","Cook",11.783286908078,30,7,2019,"Chicago"
"124","Cook",8.9430985915493,31,8,2019,"Chicago"
"125","Cook",9.28803418803419,32,8,2019,"Chicago"
"126","Cook",8.4292899408284,33,8,2019,"Chicago"
"127","Cook",6.5112676056338,34,8,2019,"Chicago"
"128","Cook",6.99461756373938,35,8,2019,"Chicago"
"129","Cook",6.72234636871508,36,9,2019,"Chicago"
"130","Cook",9.43824362606232,37,9,2019,"Chicago"
"131","Cook",11.1482954545455,38,9,2019,"Chicago"
"132","Cook",6.85817174515235,39,9,2019,"Chicago"
"133","Cook",5.56704871060172,40,10,2019,"Chicago"
"134","Cook",6.97514285714286,41,10,2019,"Chicago"
"135","Cook",8.79438202247191,42,10,2019,"Chicago"
"136","Cook",8.4631884057971,43,10,2019,"Chicago"
"137","Cook",6.78171428571429,44,10,2019,"Chicago"
"138","Cook",8.09916666666667,45,11,2019,"Chicago"
"139","Cook",15.0221902017291,46,11,2019,"Chicago"
"140","Cook",12.2179372197309,47,11,2019,"Chicago"
"141","Cook",7.72639691714836,48,11,2019,"Chicago"
"142","Cook",11.0292635658915,49,12,2019,"Chicago"
"143","Cook",13.9326959847036,50,12,2019,"Chicago"
"144","Cook",17.0483146067416,51,12,2019,"Chicago"
"145","Cook",12.3980769230769,52,12,2019,"Chicago"
"146","Cook",13.0247126436782,4,1,2019,"Chicago"
"147","Cook",13.8628895184136,5,1,2019,"Chicago"
"148","Cook",8.5957264957265,7,2,2019,"Chicago"
"149","Cook",13.750144092219,8,2,2019,"Chicago"
"150","Cook",10.3340707964602,9,2,2019,"Chicago"
"151","Cook",12.5015444015444,10,3,2019,"Chicago"
"152","Cook",7.82414772727273,22,5,2019,"Chicago"
"153","Cook",7.69464788732394,24,6,2019,"Chicago"
"154","Cook",4.97123287671233,53,12,2019,"Chicago"
"155","Cook",9.62651296829971,1,1,2018,"Chicago"
"156","Cook",11.8994535519126,2,1,2018,"Chicago"
"157","Cook",13.6087818696884,3,1,2018,"Chicago"
"158","Cook",9.12631578947368,4,1,2018,"Chicago"
"159","Cook",6.18739495798319,5,2,2018,"Chicago"
"160","Cook",12.5495750708215,6,2,2018,"Chicago"
"161","Cook",17.0045845272206,7,2,2018,"Chicago"
"162","Cook",8.02916666666667,8,2,2018,"Chicago"
"163","Cook",6.92183908045977,9,3,2018,"Chicago"
"164","Cook",6.06507352941177,10,3,2018,"Chicago"
"165","Cook",4.79873417721519,12,3,2018,"Chicago"
"166","Cook",9.81342857142857,13,3,2018,"Chicago"
"167","Cook",8.54416666666667,14,4,2018,"Chicago"
"168","Cook",9.43971428571429,15,4,2018,"Chicago"
"169","Cook",6.17608069164265,16,4,2018,"Chicago"
"170","Cook",6.15675675675676,17,4,2018,"Chicago"
"171","Cook",9.74838709677419,18,5,2018,"Chicago"
"172","Cook",7.24906832298137,20,5,2018,"Chicago"
"173","Cook",8.85142857142857,22,5,2018,"Chicago"
"174","Cook",7.56394366197183,23,6,2018,"Chicago"
"175","Cook",11.21388101983,24,6,2018,"Chicago"
"176","Cook",8.28477011494253,25,6,2018,"Chicago"
"177","Cook",11.1319444444444,26,6,2018,"Chicago"
"178","Cook",8.465625,27,7,2018,"Chicago"
"179","Cook",12.8465909090909,28,7,2018,"Chicago"
"180","Cook",7.65694050991501,29,7,2018,"Chicago"
