,policy_area,dataset,variable,year,tract,tract_number,neighborhood,geoid,location,row_id,date,count
1162,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4037.21, Los Angeles County, California",403721,Covina,1400000US06037403721,"(34.0957595, -117.8769905)",Drinking_Water_Contaminants_2017_1400000US06037403721,2017-01-01T00:00:00.000,737.5823104
1163,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4037.22, Los Angeles County, California",403722,Covina,1400000US06037403722,"(34.088417, -117.872513)",Drinking_Water_Contaminants_2017_1400000US06037403722,2017-01-01T00:00:00.000,561.0990312
1164,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4038.01, Los Angeles County, California",403801,Charter Oak,1400000US06037403801,"(34.103072, -117.8680455)",Drinking_Water_Contaminants_2017_1400000US06037403801,2017-01-01T00:00:00.000,707.5348248
1165,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4038.02, Los Angeles County, California",403802,Charter Oak,1400000US06037403802,"(34.103074, -117.8463645)",Drinking_Water_Contaminants_2017_1400000US06037403802,2017-01-01T00:00:00.000,585.1254755
1166,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4039.01, Los Angeles County, California",403901,Glendora,1400000US06037403901,"(34.120548, -117.8726465)",Drinking_Water_Contaminants_2017_1400000US06037403901,2017-01-01T00:00:00.000,506.9742681
1167,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4039.02, Los Angeles County, California",403902,Glendora,1400000US06037403902,"(34.112599, -117.8726435)",Drinking_Water_Contaminants_2017_1400000US06037403902,2017-01-01T00:00:00.000,643.9721684
1168,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4040, Los Angeles County, California",404000,Azusa,1400000US06037404000,"(34.114029, -117.8858165)",Drinking_Water_Contaminants_2017_1400000US06037404000,2017-01-01T00:00:00.000,535.2066368
1169,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4041, Los Angeles County, California",404100,Citrus,1400000US06037404100,"(34.1141825, -117.8948275)",Drinking_Water_Contaminants_2017_1400000US06037404100,2017-01-01T00:00:00.000,442.8846767
1170,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4042.01, Los Angeles County, California",404201,Azusa,1400000US06037404201,"(34.127422, -117.8950465)",Drinking_Water_Contaminants_2017_1400000US06037404201,2017-01-01T00:00:00.000,442.8846767
1171,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4042.02, Los Angeles County, California",404202,Citrus,1400000US06037404202,"(34.125068, -117.885748)",Drinking_Water_Contaminants_2017_1400000US06037404202,2017-01-01T00:00:00.000,538.98068
1172,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4043.01, Los Angeles County, California",404301,Azusa,1400000US06037404301,"(34.1275255, -117.9040845)",Drinking_Water_Contaminants_2017_1400000US06037404301,2017-01-01T00:00:00.000,442.8846767
1173,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4043.02, Los Angeles County, California",404302,Azusa,1400000US06037404302,"(34.117907, -117.9034755)",Drinking_Water_Contaminants_2017_1400000US06037404302,2017-01-01T00:00:00.000,442.8846767
1174,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4044.01, Los Angeles County, California",404401,Azusa,1400000US06037404401,"(34.127055, -117.918436)",Drinking_Water_Contaminants_2017_1400000US06037404401,2017-01-01T00:00:00.000,442.8846767
1175,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4044.02, Los Angeles County, California",404402,Azusa,1400000US06037404402,"(34.122452, -117.922847)",Drinking_Water_Contaminants_2017_1400000US06037404402,2017-01-01T00:00:00.000,442.8846767
1176,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4045.01, Los Angeles County, California",404501,Azusa,1400000US06037404501,"(34.110644, -117.9225005)",Drinking_Water_Contaminants_2017_1400000US06037404501,2017-01-01T00:00:00.000,707.6380809
1177,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4045.03, Los Angeles County, California",404503,Vincent,1400000US06037404503,"(34.110534, -117.9121425)",Drinking_Water_Contaminants_2017_1400000US06037404503,2017-01-01T00:00:00.000,442.8846767
1178,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4045.04, Los Angeles County, California",404504,Citrus,1400000US06037404504,"(34.11051, -117.9033385)",Drinking_Water_Contaminants_2017_1400000US06037404504,2017-01-01T00:00:00.000,442.8846767
1179,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4046, Los Angeles County, California",404600,Irwindale,1400000US06037404600,"(34.108944, -117.966677)",Drinking_Water_Contaminants_2017_1400000US06037404600,2017-01-01T00:00:00.000,834.9240155
1180,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4047.01, Los Angeles County, California",404701,Baldwin Park,1400000US06037404701,"(34.07202, -117.996061)",Drinking_Water_Contaminants_2017_1400000US06037404701,2017-01-01T00:00:00.000,804.8824269
1181,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4047.02, Los Angeles County, California",404702,Baldwin Park,1400000US06037404702,"(34.0719255, -117.9838755)",Drinking_Water_Contaminants_2017_1400000US06037404702,2017-01-01T00:00:00.000,808.8209629
1182,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4047.03, Los Angeles County, California",404703,Baldwin Park,1400000US06037404703,"(34.064135, -117.9894555)",Drinking_Water_Contaminants_2017_1400000US06037404703,2017-01-01T00:00:00.000,808.6179979999999
1183,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4048.01, Los Angeles County, California",404801,Baldwin Park,1400000US06037404801,"(34.077823, -117.978169)",Drinking_Water_Contaminants_2017_1400000US06037404801,2017-01-01T00:00:00.000,775.7694743
1184,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4048.02, Los Angeles County, California",404802,Baldwin Park,1400000US06037404802,"(34.073639, -117.967369)",Drinking_Water_Contaminants_2017_1400000US06037404802,2017-01-01T00:00:00.000,776.5968088
1185,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4048.03, Los Angeles County, California",404803,Baldwin Park,1400000US06037404803,"(34.066904, -117.9657045)",Drinking_Water_Contaminants_2017_1400000US06037404803,2017-01-01T00:00:00.000,872.3650554
1186,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4049.01, Los Angeles County, California",404901,Baldwin Park,1400000US06037404901,"(34.095734, -117.976888)",Drinking_Water_Contaminants_2017_1400000US06037404901,2017-01-01T00:00:00.000,861.0053445999999
1187,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4049.02, Los Angeles County, California",404902,Baldwin Park,1400000US06037404902,"(34.0866635, -117.9791755)",Drinking_Water_Contaminants_2017_1400000US06037404902,2017-01-01T00:00:00.000,676.1610309
1188,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4049.03, Los Angeles County, California",404903,Baldwin Park,1400000US06037404903,"(34.0874635, -117.9720965)",Drinking_Water_Contaminants_2017_1400000US06037404903,2017-01-01T00:00:00.000,808.7094073
1189,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4050.01, Los Angeles County, California",405001,Baldwin Park,1400000US06037405001,"(34.10311, -117.9665385)",Drinking_Water_Contaminants_2017_1400000US06037405001,2017-01-01T00:00:00.000,776.5968088
1190,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4050.02, Los Angeles County, California",405002,Baldwin Park,1400000US06037405002,"(34.103336, -117.9489975)",Drinking_Water_Contaminants_2017_1400000US06037405002,2017-01-01T00:00:00.000,776.5968088
1191,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4051.01, Los Angeles County, California",405101,Baldwin Park,1400000US06037405101,"(34.0958995, -117.961403)",Drinking_Water_Contaminants_2017_1400000US06037405101,2017-01-01T00:00:00.000,776.5968088
1192,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4051.02, Los Angeles County, California",405102,Baldwin Park,1400000US06037405102,"(34.0883515, -117.961678)",Drinking_Water_Contaminants_2017_1400000US06037405102,2017-01-01T00:00:00.000,776.5968088
1193,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4052.01, Los Angeles County, California",405201,Baldwin Park,1400000US06037405201,"(34.0849785, -117.9522585)",Drinking_Water_Contaminants_2017_1400000US06037405201,2017-01-01T00:00:00.000,842.3676442
1194,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4052.02, Los Angeles County, California",405202,Baldwin Park,1400000US06037405202,"(34.0804875, -117.96285)",Drinking_Water_Contaminants_2017_1400000US06037405202,2017-01-01T00:00:00.000,776.5968088
