X,Y,recordnum,takenby,comments,setdate,setyear,mcd,route,road,cntdir,fromlmt,tolmt,type,latitude,longitude,factor,axle,outdir,indir,sidewalk,aadp,co_name,mun_name,id
-75.146337,39.941317,103082,jh,,2013/08/13 00:00:00+00,2013,4210160103,,south st,,3rd st,front st,Pedestrian,39.941317,-75.146337,0.888,1.0622,east,west,North,3951,Philadelphia,Central,69608
-75.146353,39.9412110000001,103083,jh,,2013/08/13 00:00:00+00,2013,4210160103,,south st,,3rd st,front st,Pedestrian,39.941211,-75.146353,0.888,1.0622,east,west,South,4154,Philadelphia,Central,69609
-75.1519269999999,39.9420020000001,103085,jh,,2013/08/13 00:00:00+00,2013,4210160103,,south st,,7th st,5th st,Pedestrian,39.942002,-75.151927,0.888,1.0622,east,west,North,5182,Philadelphia,Central,69610
-75.151943,39.9419080000001,103086,jh,,2013/09/06 00:00:00+00,2013,4210160103,,south st,,7th st,5th st,Pedestrian,39.941908,-75.151943,0.949,1.0622,west,east,South,4899,Philadelphia,Central,69611
-75.157889,39.942753,103088,jh,,2013/08/13 00:00:00+00,2013,4210160103,,south st,,10th st,9th st,Pedestrian,39.942753,-75.157889,0.888,1.0622,east,west,North,4533,Philadelphia,Central,69613
-75.1578969999999,39.9426500000001,103089,jh,,2013/08/13 00:00:00+00,2013,4210160103,,south st,,10th st,9th st,Pedestrian,39.94265,-75.157897,0.888,1.0622,east,west,South,3794,Philadelphia,Central,69715
-75.252239,40.0465520000001,102736,jh,,2013/07/25 00:00:00+00,2013,4210160108,,schuylkill river trail,,port royal ave,shawmont ave,Pedestrian,40.046552,-75.252239,0.9,1.0622,east,west,,825,Philadelphia,Lower Northwest,70566
-75.180382,39.9514150000001,102738,jh,,2013/07/24 00:00:00+00,2013,4210160103,,walnut st bridge,,schuylkill ave,23rd st,Pedestrian,39.951415,-75.180382,0.9,1.0622,west,east,north,1020,Philadelphia,Central,70568
-75.1804299999999,39.9512790000001,102739,jh,,2013/07/24 00:00:00+00,2013,4210160103,,walnut st bridge,,schuylkill ave,23rd st,Pedestrian,39.951279,-75.18043,0.9,1.0622,west,east,south,1790,Philadelphia,Central,70569
-75.181235,39.950856,102741,jh,,2013/07/24 00:00:00+00,2013,4210160103,,schuylkill river trail,,locust st,walnut st bridge,Pedestrian,39.950856,-75.181235,0.9,1.0622,west,east,,5170,Philadelphia,Central,70571
-75.1827079999999,39.9489510000001,102743,jh,,2013/07/24 00:00:00+00,2013,4210160103,,schuylkill river trail,,schuylkill river park,locust st,Pedestrian,39.948951,-75.182708,0.9,1.0622,east,west,,2310,Philadelphia,Central,70573
-75.14388933,39.9664489,149150,bn,,2019/07/10 00:00:00+00,2019,4210160103,,4th st,south,poplar st,w wildley st,Pedestrian,39.9664489,-75.14388933,,,N,S,west,285,Philadelphia,Central,70832
-75.23404264,39.9797541200001,149151,bn,,2019/07/10 00:00:00+00,2019,4210160111,,56th st,both,w oxford st,us 30 lancastor ave,Pedestrian,39.97975412,-75.23404264,,,S,N,east,300,Philadelphia,West,70833
-75.170198,39.95014,110941,jh,,2014/04/02 00:00:00+00,2014,4210160103,,walnut st,,18th st,17th st,Pedestrian,39.95014,-75.170198,1.012,1.0622,east,west,north,11148,Philadelphia,Central,71486
-75.169707,39.949977,110942,jh,,2014/04/02 00:00:00+00,2014,4210160103,,walnut st,,18th st,17th st,Pedestrian,39.949977,-75.169707,1.012,1.0622,east,west,south,9716,Philadelphia,Central,71491
-75.385196,39.826668,104121,jh,,2014/04/09 00:00:00+00,2014,4204513208,,chester riverfront trail,both,highland ave,hayes st extension,Pedestrian,39.826668,-75.385196,1.012,1.0622,west,east,,27,Delaware,Chester City,71507
-75.3834199999999,39.82804,104122,jh,,2014/04/09 00:00:00+00,2014,4204513208,,chester riverfront trail,both,townsend st extension,jeffrey st extension,Pedestrian,39.82804,-75.38342,1.012,1.0622,east,west,,159,Delaware,Chester City,71508
-75.37334,39.8342030000001,104123,jh,,2014/04/09 00:00:00+00,2014,4204513208,,chester riverfront trail,both,central st extension,norris st extension,Pedestrian,39.834203,-75.37334,1.012,1.0622,west,east,,384,Delaware,Chester City,71509
-75.227863,39.935301,101547,jh,,2013/06/05 00:00:00+00,2013,4210160110,,58th st,,chester ave,kingsessing ave,Pedestrian,39.935301,-75.227863,0.93,1.0622,south,north,east,500,Philadelphia,University - Southwest,71751
-75.228099,39.9352640000001,101548,jh,,2013/06/05 00:00:00+00,2013,4210160110,,58th st,,chester ave,kingsessing ave,Pedestrian,39.935264,-75.228099,0.93,1.0622,south,north,west,478,Philadelphia,University - Southwest,71752
-75.2185709999999,39.9305410000001,101551,jh,,2013/06/06 00:00:00+00,2013,4210160110,,elmwood ave,,57th st,56th st,Pedestrian,39.930541,-75.218571,0.93,1.0622,east,west,north,393,Philadelphia,University - Southwest,71754
-75.2184589999999,39.9304500000001,101552,jh,,2013/06/06 00:00:00+00,2013,4210160110,,elmwood ave,,57th st,56th st,Pedestrian,39.93045,-75.218459,0.93,1.0622,west,east,south,243,Philadelphia,University - Southwest,71755
-75.219929,39.928614,101555,jh,,2013/06/06 00:00:00+00,2013,4210160110,,58th st,,elmwood ave,lindbergh blvd,Pedestrian,39.928614,-75.219929,0.93,1.0622,north,south,east,59,Philadelphia,University - Southwest,71758
-75.2201239999999,39.9285590000001,101556,jh,,2013/06/06 00:00:00+00,2013,4210160102,,58th st,,elmwood ave,lindbergh blvd,Pedestrian,39.928559,-75.220124,0.93,1.0622,north,south,west,82,Philadelphia,Lower Southwest,71759
-75.2335649999999,39.9377480000001,101559,jh,,2013/06/05 00:00:00+00,2013,4210160110,,59th st,,beaumont ave,cobbs creek parkway,Pedestrian,39.937748,-75.233565,0.93,1.0622,north,south,west,48,Philadelphia,University - Southwest,71762
-75.211673,39.932805,102763,jh,,2013/07/25 00:00:00+00,2013,4210160110,,schuylkill river trail at bartrams gardens,,53rd st,schuylkill river bank,Pedestrian,39.932805,-75.211673,0.9,1.0622,south,north,east,22,Philadelphia,University - Southwest,71823
-75.13978373,40.0533010600001,149154,bn,,2019/10/08 00:00:00+00,2019,4210160115,,66th ave,east,n park ave,13th st,Pedestrian,40.05330106,-75.13978373,,,E,W,south,124,Philadelphia,Upper North,72717
